12317,7303
12391,6069
11541,6846
10275,7655
10050,7462
11929,8973
11859,8974
11965,8697
13056,7775
13132,7441
13294,6323
12707,8199
11740,8493
11526,8429
11340,8544
11242,8564
11156,8264
12997,7492
13031,7318
13031,7168
11059,8920
11662,8132
11746,8111
11769,8143
13681,5293
12229,5436
12201,5444
12459,5138
12598,5647
12316,5944
12038,5065
12671,5615
12450,4941
12714,4755
12354,4297
12354,4255
12358,4403
12598,4000
12573,4572
13210,4766
13867,4686
13094,4745
13391,4403
13561,4021
13765,4109
13141,3590
13675,3191
13006,3781
13399,1788
13353,1594
13476,1437
12491,2292
12303,4644
12724,3959
13490,4961
12069,3576
12072,3671
13814,4801
13718,4041
12058,3622
12059,3569
12696,4207
12988,4074
12950,3986
13408,4253
13142,4092
13148,3980
12082,4126
12996,4055
13577,4249
12936,3213
13154,3802
13621,3714
13605,3625
13467,3858
13807,3620
13629,3809
13618,2801
11844,2748
11019,2762
10098,3133
10133,3245
10423,3148
10501,3008
10559,3092
10659,3201
10552,3423
11229,3542
13669,351
11920,5768
11700,5793
11515,5680
11636,5552
11807,5578
11986,5137
11560,5200
11348,5326
11332,5427
11442,5696
11497,5582
11720,5582
11310,5506
11377,5205
11509,5277
11499,5240
11263,5345
11976,4992
11840,4711
11809,4705
11664,4422
11521,4586
11157,4745
11321,4753
11288,4359
11631,4118
11068,4594
11902,4325
11949,4169
11862,4254
11574,4773
11533,4780
11649,4708
11623,4690
11580,4776
11617,4742
11640,4670
11500,4734
11884,3636
11522,3742
11271,3549
11785,2831
10943,4547
10961,4637
10982,4700
11008,4611
10627,3752
10728,2473
10082,4222
11248,4335
10590,3500
10430,3380
10400,3322
13879,1652
11264,3765
12914,2889
12838,2856
13228,1553
13802,2229
12583,2911
13804,300
13871,2131
11388,5703
13667,1384
13775,1295
13679,-271
13415,-357
13392,-483
13302,-368
13684,167
13321,-366
13361,-683
13444,-643
13089,-735
13328,-714
13094,-659
13058,-709
13921,-455
13446,-892
14466,2064
14492,1926
14526,1897
14573,1826
14155,1715
14396,1644
14267,1491
14586,236
14119,-64
14173,-296
14485,-137
14725,144
14610,662
14209,-519
14207,550
14236,601
14254,1680
14448,1915
14158,2201
14333,-720
14390,2605
14223,-771
10501,3008
10501,3008
10659,3201
10659,3201
12303,4644
12724,3959
12724,3959
11500,4734
14223,-771
